RNU,Oxford Health NHS Foundation Trust,,,,,,"3,540","2,870","1,690","1,850",*,"1,445",535,730,160,,,68,28,61,0,0,0,35,30,35,30,40,40,195,190,185,160,155,170,175,165,150,150,205,235,395,430,375,0,"170,915",15,*,*,,,
RTH,Oxford University Hospitals NHS Foundation Trust,,,,,,"233,835","203,250","112,105","121,725",*,"78,380","84,365","20,645","19,860",52,28,3,1,51,"12,640","7,090","4,900","4,515","1,090","1,045","1,165","1,310","1,440","8,105","10,280","12,030","10,875","9,020","10,745","13,760","16,830","14,700","16,865","19,710","17,335","16,585","12,080","7,605","84,815","408,465","31,385","2,715","3,680",,,
RPG,Oxleas NHS Foundation Trust,,,,,,"2,885","2,365","1,545","1,340",0,"1,260",225,615,265,3,1,56,18,44,0,*,*,15,*,*,*,65,45,280,350,345,270,245,285,215,185,115,105,90,80,75,50,40,*,"123,215",20,10,*,,,
NY601,Pain Management Solutions - Oaks Park Pcc,,,,,,"1,505","1,505",490,875,140,0,"1,505",0,0,,,,,59,0,0,0,0,0,0,0,0,0,10,40,70,65,115,155,160,150,145,165,170,115,100,40,10,"1,505",0,0,0,0,,,
NY677,Pain Management Solutions - Severn Fields Health Village,,,,,,70,70,25,45,0,0,70,0,0,,,,,61,0,0,0,0,0,0,0,0,0,0,*,0,*,*,*,10,*,10,10,10,*,*,*,0,70,0,0,0,0,,,
NVC14,Park Hill Hospital,,,,,,905,905,335,570,0,0,905,0,0,62,11,2,2,55,0,0,0,0,0,0,0,*,*,30,30,45,45,55,80,115,100,105,85,95,55,35,10,*,725,405,0,0,0,,,
NQT5H,Paulton Memorial Hospital,,,,,,295,295,105,190,0,20,0,0,275,,,32,28,83,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,*,*,*,10,15,35,55,90,75,0,"9,285",0,0,*,,,
NTPH5,Peninsula NHS Treatment Centre,,,,,,"4,830","4,145","2,090","2,740",0,0,"4,145",0,0,107,101,2,2,65,0,0,0,0,0,0,0,*,*,60,90,95,125,150,220,320,395,425,570,870,685,500,265,60,"3,980","1,930",0,60,0,,,
RW6,Pennine Acute Hospitals NHS Trust,,,,,,"250,090","208,025","115,810","134,275",*,"99,345","63,005","25,275","20,400",54,35,3,1,52,"16,350","8,535","3,570","2,880",670,750,940,"1,135","1,280","8,170","11,165","11,800","10,565","9,435","12,165","14,925","16,350","17,355","18,845","22,545","20,510","18,650","12,520","7,465","77,230","428,450","38,305","2,265","3,160",,,
NEQ01,Phoenix Health Solutions Limited,,,,,,"2,310","2,310","1,060","1,250",0,0,"2,310",0,0,38,28,3,1,56,0,0,0,0,0,0,0,*,10,45,100,175,185,170,205,230,210,175,200,220,170,145,50,25,"2,285",90,0,0,0,,,
NVC15,Pinehill Hospital,,,,,,"4,835","4,835","2,010","2,825",*,0,"4,835",0,0,83,41,2,2,57,0,0,0,0,0,0,0,10,15,135,195,270,290,370,435,490,460,400,435,500,360,280,145,45,"4,085","1,790",0,0,0,,,
NEY01,Pioneer Healthcare Ltd - Claremont Hospital,,,,,,180,165,95,85,0,0,135,0,30,,,2,2,52,0,0,0,0,0,0,0,0,0,*,15,10,15,10,25,20,25,20,10,20,*,*,*,0,0,"13,490",0,35,0,,,
RD3,Poole Hospital NHS Foundation Trust,,,,,,"93,320","80,415","41,325","51,990",*,"38,815","14,655","17,630","9,315",68,34,4,1,52,"6,460","3,455","2,085","1,815",405,395,390,505,485,"2,915","3,900","4,230","3,615","3,010","3,395","4,430","6,575","4,945","5,820","7,970","7,000","7,605","6,440","5,025","28,780","186,860","14,230",840,"1,970",,,
RHU,Portsmouth Hospitals NHS Trust,,,,,,"180,625","144,860","82,495","98,125",0,"59,220","50,940","21,660","13,040",66,39,5,1,57,"7,910","3,225","2,005","1,735",500,460,520,770,935,"5,915","7,620","8,120","6,735","5,265","7,250","9,435","14,305","11,095","12,440","17,040","15,340","15,690","13,000","9,215","61,565","390,020","17,970","2,550","2,500",,,
NAM01,Probus Surgical Centre,,,,,,"2,910","2,910","1,625","1,280",0,0,"2,910",0,0,,,,,68,0,0,0,0,0,0,0,0,0,10,35,115,115,110,125,105,130,165,275,485,535,425,210,60,"2,910",0,0,0,0,,,
RPC,Queen Victoria Hospital NHS Foundation Trust,,,,,,"21,060","21,055","11,070","9,985",*,"4,960","14,515","1,550",30,76,47,2,1,50,50,605,630,900,245,185,175,195,185,"1,135","1,180","1,075",950,"1,005","1,245","1,525","1,345","1,315","1,335","1,705","1,430","1,210",940,460,"12,075","14,655","2,945",350,*,,,
NVC0M,Ramsay Croydon Day Hospital,,,,,,265,265,110,155,0,0,265,0,0,49,42,3,3,60,0,0,0,0,0,0,0,0,0,*,*,*,20,20,20,25,30,20,25,30,30,15,10,*,265,*,0,0,0,,,
NVC16,Renacres Hospital,,,,,,"5,325","5,325","2,240","3,090",0,0,"5,325",0,0,85,36,2,2,58,0,0,0,0,0,0,0,20,20,135,170,205,280,310,475,550,545,500,540,610,485,320,125,35,"4,690","1,395",0,0,0,,,
NVC19,Rivers Hospital,,,,,,"10,535","10,535","4,360","6,175",*,0,"10,535",0,0,105,22,2,2,56,0,0,0,0,0,0,0,20,50,300,435,525,715,730,955,"1,010","1,015",900,970,"1,155",825,600,250,60,"9,500","2,295",0,0,0,,,
RXE,Rotherham Doncaster and South Humber NHS Foundation Trust,,,,,,"2,615","2,515","1,310","1,305",*,"1,340",50,"1,090",40,,,27,14,55,0,0,0,*,0,*,*,25,25,170,230,230,205,140,165,135,105,135,145,155,160,210,225,150,0,"72,070",270,20,*,,,
NVC17,Rowley Hall Hospital,,,,,,"6,495","6,495","2,680","3,815",0,0,"6,495",0,0,121,51,2,2,60,0,0,0,0,0,0,0,10,20,140,235,265,275,360,485,585,555,530,620,790,765,540,250,55,"5,785","1,645",0,0,0,,,
RHW,Royal Berkshire NHS Foundation Trust,,,,,,"174,575","109,545","79,660","94,915",*,"44,125","43,880","3,660","17,880",55,32,3,1,55,"9,400","4,350","2,600","2,105",525,635,660,845,760,"5,410","7,550","9,415","7,765","5,605","6,790","8,795","10,660","10,055","11,725","15,220","15,080","16,100","12,905","8,985","41,915","234,555","14,565","1,470","7,640",,,
RT3,Royal Brompton & Harefield NHS Foundation Trust,,,,,,"45,505","42,140","24,765","20,735",*,"3,595","17,145","20,080","1,325",,,6,2,51,"1,740","1,360",920,925,250,235,210,245,250,"1,350","1,545","1,825","2,020","2,110","2,745","3,680","4,135","4,395","4,325","4,500","3,285","2,145",880,280,"21,215","122,525",360,"2,930",155,,,
REF-X,Royal Cornwall Hospitals NHS Trust,,,,,,"193,845","137,550","89,625","104,215",*,"47,760","47,480","27,430","14,880",74,43,3,1,57,"6,515","3,550","2,155","1,905",450,565,755,910,880,"6,475","8,335","8,210","7,045","5,705","7,715","10,125","14,905","13,025","16,205","22,165","18,915","16,770","12,425","7,410","64,895","235,180","15,735","2,970","7,580",,,
RH8,Royal Devon and Exeter NHS Foundation Trust,,,,,,"164,915","116,050","79,185","85,725",*,"41,975","50,400","14,735","8,940",62,35,4,1,59,"7,140","3,740","1,960","1,885",480,530,640,645,770,"4,300","5,580","6,010","5,055","4,400","6,110","8,085","10,095","10,105","13,550","18,040","17,090","15,795","12,885","9,300","54,230","279,475","11,815","1,450","1,715",,,
RAL,Royal Free London NHS Foundation Trust,,,,,,"208,680","175,695","90,070","118,610",0,"63,420","66,795","15,535","29,945",55,28,4,1,53,"11,040","3,360","2,320","2,390",590,600,690,705,885,"6,760","11,220","14,880","12,330","8,735","9,285","11,285","12,560","12,485","14,335","15,980","15,400","15,905","13,105","10,085","69,530","415,690","20,595","1,705","11,795",,,
RQ6,Royal Liverpool and Broadgreen University Hospitals NHS Trust,,,,,,"124,055","95,285","61,525","62,530",0,"42,050","25,395","27,400",440,75,38,5,1,60,0,40,480,165,25,265,420,785,885,"4,500","4,790","5,215","5,580","5,225","7,450","8,770","11,250","11,545","11,605","13,130","10,955","10,435","6,755","3,640","44,995","268,670","16,455",495,10,,,
RAN,Royal National Orthopaedic Hospital NHS Trust,,,,,,"17,065","17,050","7,210","9,850",0,340,"15,145","1,510",55,58,39,7,2,50,25,175,315,770,190,190,145,135,135,705,755,830,"1,020",995,"1,205","1,545","1,570","1,465","1,460","1,415","1,025",615,275,55,"9,770","48,810",10,"1,105",0,,,
RGM,Royal Papworth Hospital NHS Foundation Trust,,,,,,"23,925","23,475","14,440","9,485",0,"1,615","15,025","4,100","2,735",31,6,5,2,62,0,*,10,*,15,35,60,65,85,480,560,640,710,880,"1,430","1,870","2,365","2,620","3,070","3,560","2,695","1,770",760,210,"9,865","63,240",95,955,80,,,
RA2,Royal Surrey County Hospital NHS Foundation Trust,,,,,,"95,660","85,425","43,485","52,145",25,"33,955","38,915","5,030","7,530",62,29,4,1,55,"4,245","1,810","1,255","1,190",270,380,500,615,635,"3,335","3,935","4,480","4,570","3,770","4,660","5,505","7,515","6,180","6,925","8,990","7,700","7,135","5,805","4,050","36,525","176,195","14,225","1,030","1,435",,,
RD1,Royal United Hospitals Bath NHS Foundation Trust,,,,,,"128,690","93,915","57,585","71,105",*,"44,910","23,150","14,840","11,015",57,32,4,1,56,"7,165","3,130","1,830","1,615",365,375,520,605,710,"4,070","5,190","5,675","4,730","4,005","5,285","6,470","7,430","7,750","8,795","12,040","11,795","11,770","9,910","7,140","32,550","236,490","15,675",675,"2,245",,,
8G301,Ryalls Ann (Counsellor),,,,,,90,90,30,60,0,0,75,15,0,,,1,1,51,0,*,*,0,0,0,0,0,*,*,*,*,*,*,*,15,*,*,*,10,*,*,*,0,60,35,0,*,0,,,
RM3,Salford Royal NHS Foundation Trust,,,,,,"135,255","99,455","63,615","71,630",*,"38,695","37,395","20,470","2,900",51,34,6,1,57,695,"1,235",520,560,150,345,480,645,755,"4,965","6,715","7,250","7,090","6,870","9,020","10,305","11,005","10,200","10,690","12,535","11,505","10,105","6,375","4,435","49,435","291,235","12,125","1,600","2,365",,,
RNZ,Salisbury NHS Foundation Trust,,,,,,"70,870","61,255","31,400","39,470",0,"23,180","26,505","2,950","8,620",79,39,4,1,55,"2,715","1,135","1,010",725,190,215,270,315,485,"2,770","3,900","3,925","3,265","2,490","2,975","3,775","5,390","4,180","4,605","6,470","6,005","5,595","4,265","2,825","23,955","159,750","7,220","1,230","4,375",,,
RXK-X,Sandwell and West Birmingham Hospitals NHS Trust,,,,,,"136,290","99,215","64,055","72,230",*,"50,925","30,755","4,550","12,985",53,34,4,1,51,"10,135","4,190","2,560","2,015",450,455,595,745,780,"5,100","6,645","7,145","5,990","5,285","6,025","6,965","7,370","7,815","8,675","9,260","10,270","10,790","8,090","5,220","29,755","274,275","12,050",955,"2,350",,,
AXG02,Savernake Community Hospital,,,,,,285,285,120,165,0,135,0,*,150,,,28,18,81,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,*,*,*,15,20,55,65,50,60,0,"8,040",0,0,*,,,
RCU,Sheffield Children's NHS Foundation Trust,,,,,,"25,905","24,700","14,335","11,570",*,"5,525","8,765","9,865",540,54,41,4,1,7,"2,730","7,145","7,195","6,295","1,325",690,290,135,40,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,615","39,105",955,540,115,,,
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,,,,,,"288,725","244,895","125,845","162,880",*,"67,510","106,230","47,225","23,930",37,24,5,1,56,"6,960",10,475,420,90,760,"1,205","1,645","2,095","12,620","16,245","17,115","14,305","11,400","15,780","18,880","24,565","22,800","24,610","29,485","24,375","20,090","13,395","8,110","130,425","539,120","17,795","2,715","10,025",,,
NDAJ1,Sheppey Community Hospital,,,,,,270,270,110,160,0,30,0,0,240,,,23,19,80,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,15,15,30,45,55,55,45,0,"6,130",*,0,10,,,
NTPH1,Shepton Mallet NHS Treatment Centre,,,,,,"7,285","6,325","3,305","3,980",0,20,"6,260",0,45,73,52,3,2,64,0,0,0,0,0,0,0,10,10,95,140,175,235,275,370,530,610,660,885,"1,145","1,000",730,335,80,"5,665","5,210",0,50,*,,,
RK5,Sherwood Forest Hospitals NHS Foundation Trust,,,,,,"112,250","93,515","49,685","62,555",*,"38,890","34,705","7,665","12,255",48,29,4,1,56,"4,780","2,185","1,320","1,065",260,340,380,560,675,"4,545","6,020","5,500","4,090","3,400","4,605","6,015","6,850","7,175","8,420","10,970","10,245","9,965","7,550","5,135","36,670","218,430","13,300","1,065","5,790",,,
RXW,Shrewsbury and Telford Hospital NHS Trust,,,,,,"176,640","136,655","83,280","93,355",*,"57,060","41,290","28,340","9,965",58,34,4,1,58,"7,415","3,640","1,915","1,755",485,465,550,625,720,"4,665","6,345","6,185","5,960","4,940","7,575","9,370","13,665","12,105","15,640","19,810","17,860","15,655","11,310","7,015","64,110","265,190","18,275",705,"1,485",,,
R1D,Shropshire Community Health NHS Trust,,,,,,"2,985","2,985","1,365","1,615",0,515,160,735,"1,575",77,74,14,11,63,0,100,455,80,10,*,*,*,0,20,20,30,25,25,25,35,65,55,100,185,295,420,520,500,895,"30,235",10,0,25,,,
NDAJ2,Sittingbourne Memorial Hospital,,,,,,265,265,115,150,0,10,0,0,255,,,18,17,82,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,0,*,*,15,20,40,55,60,65,0,"4,845",0,0,*,,,
R1C,Solent NHS Trust,,,,,,"1,095","1,090",430,665,0,30,0,0,"1,060",,,29,21,81,0,0,0,0,0,0,0,0,*,*,*,*,*,*,10,15,30,15,50,110,130,210,250,250,0,"31,315",0,0,*,,,
RH5,Somerset Partnership NHS Foundation Trust,,,,,,"4,280","3,730","1,805","2,475",0,"1,315",105,0,"2,315",72,69,33,19,69,0,0,0,10,10,15,20,30,25,130,145,145,180,135,195,150,115,125,165,290,345,595,735,715,105,"113,215",25,0,10,,,
NFH01,Somerset Surgical Services,,,,,,"1,845","1,845",815,"1,035",0,0,"1,840",*,0,42,34,3,3,68,0,0,0,0,0,0,0,0,0,25,40,50,45,50,70,90,100,140,185,255,285,280,175,50,"1,770",260,0,*,0,,,
NR526,South Hams (Kingsbridge) Hospital,,,,,,340,340,150,190,0,85,250,0,*,6,3,12,11,82,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,*,*,*,25,25,40,75,90,65,*,"4,020",*,*,0,,,
RV5,South London and Maudsley NHS Foundation Trust,,,,,,"4,350","4,245","2,270","2,075",*,"1,360",0,"2,385",500,,,86,32,37,0,0,*,65,30,60,95,95,90,600,555,580,505,355,345,350,250,130,85,60,50,20,15,*,0,"271,055",10,15,*,,,
RTR,South Tees Hospitals NHS Foundation Trust,,,,,,"180,425","152,860","85,075","95,345",*,"56,515","53,780","29,270","13,295",60,31,4,1,55,"8,060","4,470","2,415","2,095",460,545,590,755,855,"5,360","7,315","7,620","6,815","5,995","8,800","10,630","13,195","13,870","16,090","18,655","15,530","14,535","9,535","5,275","66,245","343,215","19,565","2,925","3,335",,,
RE9,South Tyneside NHS Foundation Trust,,,,,,"44,460","34,890","19,485","24,975",0,"18,965","8,820","4,870","2,230",34,20,4,1,58,"1,565",565,205,185,65,110,130,195,190,"1,540","1,960","1,970","1,850","1,440","1,955","2,490","2,990","3,320","3,880","4,820","4,055","3,885","2,970","2,025","12,515","94,055","7,725",125,330,,,
RJC,South Warwickshire NHS Foundation Trust,,,,,,"90,035","68,090","39,525","50,505",*,"25,535","21,695","13,935","6,925",46,34,4,1,58,"4,695","1,705",900,895,230,220,225,270,390,"2,135","3,155","3,700","3,265","2,750","3,430","4,585","5,240","5,620","6,955","9,320","8,860","8,515","7,240","5,430","31,555","168,145","6,600",425,975,,,
RQY,South West London and St George's Mental Health NHS Trust,,,,,,"3,015","1,105","1,715","1,300",0,680,100,290,40,3,2,80,32,41,0,0,0,20,20,30,35,55,50,340,335,355,300,250,310,250,190,115,110,85,55,40,20,10,0,"138,405",*,*,0,,,
RXG,South West Yorkshire Partnership NHS Foundation Trust,,,,,,"2,515","2,085","1,355","1,160",0,"1,510",10,270,295,6,6,75,29,49,0,0,0,0,0,*,15,20,20,210,240,230,210,195,225,200,195,155,160,125,120,95,70,20,0,"142,965",10,*,0,,,
NTP11,Southampton NHS Treatment Centre,,,,,,"13,740","12,755","6,430","7,305",10,0,"12,755",0,0,44,34,2,1,53,0,0,0,0,0,15,35,75,95,700,965,"1,005",965,950,"1,095","1,115","1,195","1,120","1,225","1,180",900,700,315,75,"12,510","1,915",0,160,0,,,
RAJ,Southend University Hospital NHS Foundation Trust,,,,,,"126,415","105,705","55,975","70,435",*,"41,405","34,950","20,330","9,020",65,39,3,1,60,"4,310","1,145","1,005",830,200,335,415,430,550,"3,300","4,470","4,640","4,295","4,135","5,435","7,085","8,185","8,630","10,655","14,635","12,735","11,825","8,440","6,020","48,215","198,500","14,225","1,040","2,545",,,
RW1,Southern Health NHS Foundation Trust,,,,,,"11,930","10,530","5,645","6,290",*,"3,460","2,260","2,830","1,975",36,28,35,12,64,0,0,0,20,15,25,30,65,80,460,440,530,545,460,510,680,670,605,770,"1,100","1,065","1,375","1,270","1,170","3,585","255,540",940,130,15,,,
RVY,Southport and Ormskirk Hospital NHS Trust,,,,,,"70,440","60,185","33,115","37,315",*,"30,415","17,275","7,685","4,810",68,30,4,1,58,"3,625","1,925",760,725,250,195,195,310,340,"1,880","2,500","2,510","2,240","1,970","2,510","3,290","3,915","4,590","5,070","6,825","7,110","7,550","5,250","3,465","22,560","152,800","12,855",255,585,,,
NPG05,Spamedica - Newton-Le-Willows,,,,,,"2,245","2,245",975,"1,270",*,0,"2,245",0,0,26,21,18,18,75,0,0,0,0,0,0,0,0,0,0,0,0,*,10,10,35,75,130,235,500,540,480,190,45,"2,245",35,0,0,0,,,
NPG13,Spamedica - Skelmersdale,,,,,,665,665,285,380,0,0,665,0,0,22,15,,,74,0,0,0,0,0,0,0,0,0,0,*,*,0,0,10,10,25,30,90,150,160,120,45,25,665,0,0,0,0,,,
NPG02,Spamedica (Birkenhead),,,,,,"3,785","3,785","1,495","2,290",*,0,"3,785",0,0,24,20,10,10,75,0,0,0,0,0,0,0,0,0,*,*,*,*,10,20,60,130,220,395,775,825,760,465,120,"3,785",10,0,0,0,,,
NPG11,Spamedica (Birmingham),,,,,,"2,015","2,015",925,"1,090",*,0,"2,015",0,0,24,21,,,73,0,0,0,0,0,0,0,0,0,*,0,0,*,10,35,70,100,155,265,405,445,320,170,35,"2,015",0,0,0,0,,,
NPG08,Spamedica (Bolton),,,,,,"4,965","4,965","2,080","2,890",0,0,"4,965",0,0,22,17,11,11,73,0,0,0,0,0,0,0,0,0,*,*,*,10,15,45,105,240,380,635,"1,020","1,115",875,415,95,"4,965",10,0,0,0,,,
NPG12,Spamedica (Bradford),,,,,,665,665,290,375,0,0,665,0,0,24,18,,,74,0,0,0,0,0,0,0,0,0,*,0,0,0,*,*,15,20,50,80,150,125,115,80,25,665,0,0,0,0,,,
NPG01,Spamedica (Manchester),,,,,,"5,855","5,855","2,420","3,430",0,0,"5,855",0,0,30,20,9,8,75,0,0,0,0,0,0,0,0,*,*,*,*,10,20,60,135,235,410,605,"1,085","1,300","1,235",545,205,"5,850",35,0,0,0,,,
NPG10,Spamedica (Sheffiled),,,,,,"3,930","3,930","1,645","2,285",0,0,"3,930",0,0,25,21,,,75,0,0,0,0,0,0,0,0,0,0,0,*,*,10,35,70,105,280,490,815,915,730,340,135,"3,930",0,0,0,0,,,
NPG07,Spamedica Eye Hospital (Wakefield),,,,,,"7,020","7,020","2,705","4,315",0,0,"7,020",0,0,27,23,,,74,0,0,0,0,0,0,0,*,0,*,0,*,20,20,60,135,210,490,865,"1,470","1,520","1,340",700,180,"7,020",0,0,0,0,,,
NPG06,Spamedica Liverpool,,,,,,"2,165","2,165",920,"1,240",*,0,"2,165",0,0,22,17,6,6,73,0,0,0,0,0,0,0,0,0,0,0,0,*,*,15,60,105,195,330,445,420,390,155,35,"2,165",*,0,0,0,,,
NT312,Spire Alexandra Hospital,,,,,,"1,535","1,535",590,945,0,0,"1,535",0,0,63,58,2,2,56,0,0,0,0,0,0,0,*,*,35,55,75,100,105,145,195,155,150,190,160,105,40,15,*,805,"1,460",0,0,0,,,
NT302,Spire Bristol Hospital,,,,,,"1,720","1,720",815,905,0,0,"1,720",0,0,37,30,3,3,62,0,0,0,0,0,0,0,*,*,25,25,40,60,65,100,180,190,175,215,270,195,110,50,10,940,"1,975",0,0,0,,,
NT315,Spire Bushey Hospital,,,,,,"1,060","1,060",560,500,0,0,"1,060",0,0,54,49,2,2,53,0,0,0,0,0,0,0,0,*,25,45,80,95,95,100,135,110,100,100,80,55,30,15,*,805,550,0,0,0,,,
NT317,Spire Cambridge Lea Hospital,,,,,,685,685,345,335,0,0,685,0,0,42,36,3,3,56,0,0,0,0,0,0,0,*,*,20,40,30,40,45,45,55,65,75,90,95,45,30,*,0,290,"1,035",0,0,0,,,
NT324,Spire Cheshire Hospital,,,,,,"3,615","3,615","1,690","1,925",0,0,"3,615",0,0,56,51,2,2,55,0,0,0,0,0,0,0,15,20,120,155,195,225,225,350,355,385,335,400,365,250,155,45,10,"2,805","1,700",0,0,0,,,
NT345,Spire Clare Park Hospital,,,,,,"1,235","1,235",585,650,0,0,"1,235",0,0,53,42,2,2,55,0,0,0,0,0,0,0,*,*,50,55,70,80,80,100,135,105,120,140,125,100,45,20,*,990,540,0,0,0,,,
NT344,Spire Dunedin Hospital,,,,,,"1,840","1,840",785,"1,055",0,0,"1,840",0,0,51,42,2,2,53,0,0,0,0,0,0,0,*,*,65,90,120,150,160,185,210,190,145,170,160,105,60,20,*,"1,575",615,0,0,0,,,
NT348,Spire Elland Hospital,,,,,,"4,225","4,225","1,720","2,510",0,0,"4,225",0,0,63,56,2,2,55,0,0,0,0,0,0,0,10,15,100,180,235,265,295,435,480,460,410,410,415,295,155,50,*,"3,280","1,890",0,0,0,,,
NT347,Spire Fylde Coast Hospital,,,,,,"5,165","5,165","2,320","2,845",0,0,"5,165",0,0,62,52,2,2,60,0,0,0,0,0,0,0,10,20,100,160,210,245,270,390,445,465,420,495,730,555,395,200,40,"4,290","1,980",0,0,0,,,
NT308,Spire Gatwick Park Hospital,,,,,,605,605,245,360,0,0,605,0,0,39,31,3,2,58,0,0,0,0,0,0,0,*,*,*,20,20,35,35,55,60,60,80,65,70,50,25,10,*,490,300,0,0,0,,,
NT316,Spire Harpenden Hospital,,,,,,"1,935","1,935",880,"1,055",0,0,"1,935",0,0,50,46,3,3,55,0,0,0,0,0,0,*,10,10,90,75,80,90,120,175,220,210,210,210,210,130,70,25,0,"1,355","1,460",0,0,0,,,
NT319,Spire Hartswood Hospital,,,,,,"1,165","1,165",635,530,0,0,"1,160",*,0,58,55,2,2,60,0,0,0,0,0,0,0,*,*,25,45,40,50,65,75,115,105,120,125,150,100,85,40,15,925,520,0,0,0,,,
NT351,Spire Hull and East Riding Hospital,,,,,,"6,100","6,100","2,550","3,550",0,0,"6,100",0,0,62,45,2,2,58,0,0,*,*,*,*,*,10,20,105,175,200,265,310,555,720,725,695,640,675,475,310,145,50,"4,765","3,205",0,0,0,,,
NT332,Spire Leeds Hospital,,,,,,"3,200","3,200","1,515","1,685",0,0,"3,200",0,0,60,56,2,2,51,0,40,75,40,15,*,*,*,20,130,160,190,215,210,310,330,295,285,295,250,170,110,40,*,"2,410","1,705",0,0,0,,,
NT322,Spire Leicester Hospital,,,,,,"1,485","1,485",690,795,0,0,"1,485",0,0,61,56,3,3,61,0,0,0,0,0,0,0,*,*,20,30,30,45,60,85,170,170,205,195,235,120,75,25,*,585,"2,495",0,0,0,,,
NT321,Spire Little Aston Hospital,,,,,,"2,520","2,520","1,015","1,505",0,0,"2,520",0,0,73,72,2,3,58,0,0,0,0,0,0,0,*,*,45,80,75,115,155,235,295,280,270,280,330,205,90,40,*,"1,575","2,300",0,0,0,,,
NT337,Spire Liverpool Hospital,,,,,,"7,385","7,385","3,545","3,840",0,0,"7,385",0,0,55,42,2,2,54,0,0,0,0,0,0,0,25,35,265,400,490,570,530,645,735,810,760,650,620,390,315,105,30,"6,585","1,745",0,0,0,,,
NT314,Spire London East,,,,,,"4,205","4,205","1,730","2,475",0,0,"4,205",0,0,57,43,2,1,51,0,0,0,0,0,0,0,*,15,115,190,300,380,480,460,505,450,430,295,240,160,115,35,15,"3,715",980,0,0,0,,,
NT327,Spire Manchester Hospital,,,,,,"1,840","1,840",920,915,0,0,"1,840",0,0,49,40,2,1,48,0,0,0,*,0,0,0,*,15,105,160,185,160,165,200,200,175,140,115,100,50,35,15,*,"1,425",895,0,0,0,,,
NT350,Spire Methley Park Hospital,,,,,,"3,145","3,145","1,345","1,805",0,0,"3,145",0,0,55,48,2,2,54,0,0,0,0,0,0,0,10,10,95,130,190,195,215,335,375,360,310,325,300,170,85,25,0,"2,225","1,570",0,0,0,,,
NT364,Spire Montefiore Hospital,,,,,,865,865,360,500,0,0,865,0,0,40,27,2,1,55,0,0,0,0,0,0,0,*,*,20,45,35,65,70,85,95,85,80,70,90,55,45,10,*,680,335,0,0,0,,,
NT325,Spire Murrayfield Hospital,,,,,,"2,135","2,135","1,060","1,080",0,0,"2,135",0,0,59,54,2,2,58,0,0,0,0,0,0,0,10,*,60,65,100,125,125,170,205,215,200,215,225,185,140,80,15,"1,690",820,0,0,0,,,
NT30A,Spire Nottingham Hospital,,,,,,575,575,285,290,0,0,575,0,0,49,45,2,3,57,0,*,10,0,0,0,*,*,*,10,20,20,40,40,50,45,50,40,65,55,55,30,25,*,440,305,0,0,0,,,
NT320,Spire Parkway Hospital,,,,,,"2,600","2,600","1,105","1,495",0,0,"2,600",*,0,62,56,3,3,57,0,0,0,0,0,0,0,*,*,50,80,85,110,155,265,330,305,270,280,295,195,120,35,*,"1,610","2,950",0,0,0,,,
NT305,Spire Portsmouth Hospital,,,,,,"1,245","1,245",560,680,0,0,"1,245",0,0,53,49,3,3,59,0,0,0,0,0,0,0,*,*,35,40,40,45,60,70,105,145,185,150,180,110,60,10,0,645,"1,785",0,0,0,,,
NT339,Spire Regency Hospital,,,,,,"1,815","1,815",840,975,0,0,"1,815",0,0,47,37,2,2,56,0,0,0,0,0,0,0,10,10,55,65,100,100,105,175,180,210,190,190,190,120,75,25,*,"1,305",975,0,0,0,,,
NT301,Spire South Bank Hospital,,,,,,"2,335","2,335","1,105","1,230",0,0,"2,335",0,0,64,57,2,2,56,0,0,0,0,0,0,0,*,10,70,85,125,130,145,215,230,265,255,255,265,155,90,30,*,"1,805","1,065",0,0,0,,,
NT304,Spire Southampton Hospital,,,,,,"1,380","1,380",550,830,0,0,"1,380",0,0,53,46,2,2,58,0,0,0,0,0,0,0,*,*,30,50,60,65,70,105,150,145,145,175,185,125,50,15,*,620,"1,835",0,0,0,,,
NT3X3,Spire St Anthony's Hospital,,,,,,250,250,160,90,0,0,250,0,0,45,33,2,2,53,0,0,0,0,0,0,0,0,*,10,15,10,20,15,35,20,30,25,25,25,10,*,*,0,180,145,0,0,0,,,
NT309,Spire Sussex Hospital,,,,,,"1,030","1,030",385,645,0,0,"1,030",0,0,59,55,2,2,61,0,0,0,0,0,0,0,*,*,20,25,30,35,50,85,65,85,105,125,170,100,100,25,*,610,880,0,0,0,,,
NT343,Spire Thames Valley Hospital,,,,,,400,400,145,255,0,0,400,0,0,52,47,2,1,51,0,0,0,0,0,0,0,*,0,15,25,25,35,40,45,45,40,45,25,25,20,10,*,0,255,300,0,0,0,,,
NT310,Spire Tunbridge Wells Hospital,,,,,,885,885,385,500,0,0,885,0,0,46,41,2,2,54,0,0,0,0,0,0,0,*,10,20,40,45,65,70,85,100,100,80,85,90,55,30,*,*,720,340,0,0,0,,,
